1|1|1|1|187157
2|1|1|3|187158
3|1|1|3|187159
4|1|1|3|187160
5|1|1|3|187161
6|1|1|3|187162
7|1|1|3|187163
8|1|1|3|187164
9|1|1|3|187165
10|1|1|3|187166
11|1|1|3|187167
12|1|1|3|187168
13|1|1|1|187169
14|1|1|1|187170
15|1|1|3|187171
16|1|1|1|187172
17|1|1|3|187173
18|1|1|3|187174
19|1|1|3|187175
20|1|1|3|187176
21|1|1|1|187177
22|1|1|1|187178
23|1|1|3|187179
24|1|1|3|187180
25|1|1|3|187181
26|1|1|3|187182
27|1|1|3|187183
28|1|1|3|187184
29|1|1|3|187185
30|1|1|3|187186
31|1|1|3|187187
32|1|1|3|187188
33|1|1|3|187189
34|1|1|3|187190
35|1|1|1|187191
36|1|1|1|187192
37|1|1|3|187193
38|1|1|1|187194
39|1|1|3|187195
40|1|1|3|187196
41|1|1|3|187197
42|1|1|3|187198
43|1|1|1|187199
44|1|1|3|187200
45|1|1|1|187201
46|1|1|1|187202
47|1|1|3|187203
48|1|1|3|187204
49|1|1|1|187205
50|1|2|3|187206
51|1|2|3|187207
52|1|2|3|187208
53|1|2|3|187209
54|1|2|3|187210
55|1|2|3|187211
56|1|2|3|187212
57|1|2|3|187213
58|1|2|3|187214
59|1|2|3|187215
60|1|2|3|187216
61|1|2|3|187217
62|1|2|3|187218
63|1|2|3|187219
64|1|2|1|187220
65|1|2|3|187221
66|1|2|1|187222
67|1|2|3|187223
68|1|2|1|187224
