1|1|100032|0.0|
2|2|1112|0.0|
3|2|3347|0.0|
4|2|3464|0.0|
5|2|4884|0.0|
6|3|3682|0.0|
7|4|100033|0.0|
8|5|200213|0.0|
9|6|4032|0.0|
10|7|4090|0.0|
11|7|100035|0.0|
12|7|100036|0.0|
13|8|4093|0.0|
14|9|3990|0.0|
15|10|3967|3.0|mg
16|10|3965|60.0|mg
17|10|3973|2.0|mg
18|10|4038|15.0|mg
19|10|4036|0.25|mg
20|11|200210|0.0|
21|12|998|0.0|
22|13|980|0.0|
23|14|729|0.0|
24|15|1210|0.0|
25|15|1209|0.0|
26|15|1141|0.0|
27|15|1143|0.0|
28|15|1142|0.0|
29|15|100037|0.0|
30|16|1132|0.25|mg
31|17|498|0.0|
32|18|200214|0.0|
33|19|200215|0.0|
34|20|4697|0.0|
35|21|100038|0.0|
36|21|1356|0.0|
37|22|823|325.0|mg
38|22|848|325.0|mg
39|23|200045|0.0|
40|24|100039|0.0|
41|25|727|0.0|
42|26|3361|0.0|
43|26|4888|0.0|
44|27|200220|0.0|
45|28|200216|0.0|
46|29|4105|0.0|
47|30|200217|0.0|
48|31|1016|0.0|
49|32|100040|0.0|
50|33|4958|0.0|
51|33|1165|0.0|
52|34|100041|0.0|
53|35|1356|0.0|
54|36|100042|0.0|
55|37|2807|0.0|
56|38|1161|0.0|
57|39|2269|0.0|
58|39|2325|0.0|
59|40|3908|0.0|
60|41|3909|0.0|
61|42|1518|0.0|
62|43|4920|0.0|
63|43|3783|0.0|
64|43|1145|0.0|
65|44|100043|0.0|
66|45|82|0.0|
67|46|100044|0.0|
68|47|200225|0.0|
69|48|200219|0.0|
70|49|200226|0.0|
71|50|998|0.0|
72|50|200218|0.0|
73|51|4460|0.0|
74|51|4461|0.0|
75|51|200227|0.0|
76|51|200219|0.0|
77|52|200020|0.0|
78|52|3703|0.0|mg
79|52|728|0.0|mg
80|52|41|0.0|mg
81|53|3938|0.0|
82|53|3888|0.0|
83|53|3908|0.0|
84|53|200228|0.0|
85|54|200229|0.0|
86|54|200020|0.0|
87|54|729|0.0|
88|54|727|0.0|
89|54|726|0.0|
90|55|200215|0.0|
91|55|200214|0.0|
92|55|2395|0.0|
93|55|2393|0.0|
94|55|4080|0.0|
95|55|200221|0.0|
96|55|200222|0.0|
97|55|2398|0.0|
98|56|200230|0.0|
99|56|200215|0.0|
100|56|200224|0.0|
101|56|200210|0.0|
102|57|200224|0.0|
103|58|236|0.0|
104|58|200223|0.0|
105|58|4187|0.0|
106|59|200222|0.0|
107|59|4583|0.0|
108|59|4150|0.0|
109|59|200000|0.0|
110|59|200001|0.0|
111|59|200002|0.0|
112|59|200219|0.0|
113|60|200045|0.0|
114|60|200215|0.0|
115|60|200213|0.0|
116|60|200231|0.0|
117|60|4150|0.0|
118|60|200232|0.0|
119|60|4151|0.0|
120|61|200046|0.0|
121|61|1210|0.0|
122|61|1209|0.0|
123|61|1141|0.0|
124|61|1143|0.0|
125|61|1142|0.0|
126|61|1132|0.0|
127|61|4958|0.0|
128|61|1165|0.0|
129|62|200231|0.0|
130|62|4150|0.0|
131|62|200232|0.0|
132|62|4151|0.0|
133|62|4105|0.0|
134|63|200211|0.0|
135|63|200212|0.0|
136|63|200224|0.0|
137|64|4103|0.0|
138|64|200100|0.0|
139|65|4209|0.0|
140|66|3939|0.0|
141|67|200210|0.0|
142|67|1437|0.0|
143|68|200018|0.0|
144|68|200215|0.0|
145|68|200224|0.0|
