1|T|5840|5841||
2|T|5842|5843||
3|P|5844|5845||
4|C|5846|5847||
5|D|5848|5849||
6|T|5850|5851||
7|D|5852|5853||
8|T|5854|5855||
9|DP|5856|5857||
10|T|5858|5859||
11|P|5860|5861||
12|TD|5862|5863||
13|D|5864|5865||
14|T|5866|5867||
15|T|5868|5869||
16|D|5870|5871||
17|T|5872|5873||
18|T|5874|5875||
19|TD|5876|5877||
20|P|5878|5879||
21|T|5880|5881||
22|C|5882|5883||
23|P|5884|5885||
24|PD|5886|5887||
25|T|5888|5889||
26|D|5890|5891||
27|P|5892|5893||
28|D|5894|5895||
29|P|5896|5897||
30|P|5898|5899||
31|T|5900|5901||
32|D|5902|5903||
33|P|5904|5905||
34|D|5906|5907||
35|D|5908|5909||
36|D|5910|5911||
37|D|5912|5913||
38|T|5914|5915||
39|D|5916|5917||
40|P|5918|5919||
41|P|5920|5921||
42|P|5922|5923||
43|P|5924|5925||
44|P|5926|5927||
45|P|5928|5929||
46|D|5930|5931||
47|P|5932|5933||
48|D|5934|5935||
49|D|5936|5937||
50|D|5938|5939||
51|D|5940|5941||
52|C|5942|5943||
53|C|5944|5945||
54|C|5946|5947||
55|C|5948|5949||
56|C|5950|5951||
57|C|5952|5953||
58|C|5954|5955||
59|D|5956|5957||
60|D|5958|5959||
61|C|5960|5961||
62|C|5962|5963||
63|C|5964|5965||
64|T|5966|5967||
65|P|5968|5969||
66|P|5970|5971||
67|P|5972|5973||
68|P|5974|5975||
69|D|5976|5977||
70|D|5978|5979||
71|D|5980|5981||
72|D|5982|5983||
73|C|5984|5985||
74|C|5986|5987||
75|C|5988|5989||
76|C|5990|5991||
77|C|5992|5993||
78|P|5994|5995||
79|C|5996|5997||
80|D|5998|5999||
81|D|6000|6001||
82|T|6002|6003||
83|P|6004|6005||
84|D|6006|6007||
85|D|6008|6009||
86|T|6010|6011||
87|P|6012|6013||
88|P|6014|6015||
89|P|6016|6017||
90|P|6018|6019||
91|T|6020|6021||
92|P|6022|6023||
93|P|6024|6025||
94|TC|6026|6027||
95|T|6028|6029||
96|D|6030|6031||
97|P|6032|6033||
98|T|6034|6035||
99|D|6036|6037||
100|P|6038|6039||
101|P|6040|6041||
102|T|6042|6043||
103|D|6044|6045||
104|T|6046|6047||
105|P|6048|6049||
106|P|6050|6051||
107|P|6052|6053||
108|D|6054|6055||
109|P|6056|6057||
110|PD|6058|6059||
111|P|6060|6061||
112|P|6062|6063||
113|P|6064|6065||
114|P|6066|6067||
115|P|6068|6069||
116|P|6070|6071||
117|PD|6072|6073||
118|T|6074|6075||
119|T|6076|6077||
120|T|6078|6079||
121|P|6080|6081||
122|T|6082|6083||
123|P|6084|6085||
124|P|6086|6087||
125|P|6088|6089||
126|D|6090|6091||
127|T|6092|6093||
128|T|6094|6095||
129|T|6096|6097||
130|D|6098|6099||
131|D|6100|6101||
132|C|6102|6103||
133|P|6104|6105||
134|P|6106|6107||
135|P|6108|6109||
136|P|6110|6111||
137|P|6112|6113||
138|P|6114|6115||
139|P|6116|6117||
140|P|6118|6119||
141|P|6120|6121||
142|P|6122|6123||
143|D|6124|6125||
144|D|6126|6127||
145|P|6128|6129||
146|D|6130|6131||
147|P|6132|6133||
148|P|6134|6135||
149|P|6136|6137||
150|P|6138|6139||
151|D|6140|6141||
152|P|6142|6143||
153|D|6144|6145||
154|D|6146|6147||
155|T|6148|6149||
156|T|6150|6151||
157|T|6152|6153||
158|TDC|6154|6155||
159|C|6156|6157||
160|P|6158|6159||
161|P|6160|6161||
162|P|6162|6163||
163|I|6164|6165||
164|I|6166|6167||
165|P|6168|6169||
166|T|6170|6171||
167|T|6172|6173||
168|T|6174|6175||
169|TDC|6176|6177||
170|P|6178|6179||
171|P|6180|6181||
172|P|6182|6183||
173|P|6184|6185||
174|P|6186|6187||
175|T|6188|6189||
176|P|6190|6191||
177|DC|6192|6193||
178|P|6194|6195||
179|P|6196|6197||
180|P|6198|6199||
181|P|6200|6201||
182|P|6202|6203||
183|P|6204|6205||
184|P|6206|6207||
185|P|6208|6209||
